round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
800,0.21073519245341973,0.4570256,6.26512e-05,0.21115505695343018,0.45755243,0.00013917884,elu,64,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
800,0.684199728347637,0.4542681,0.00021953805,0.6842182278633118,0.45480534,0.00024356297,elu,64,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
800,0.15565162201722463,0.0058726203,0.84003973,0.15431316196918488,0.0056217015,0.8592206,relu,128,800,binary_crossentropy,Nadam
1200,2.5180652435799993e-05,0.0028500217,0.9608849,2.237065382360015e-05,0.002652499,0.96687543,elu,64,1200,mean_squared_error,Nadam
1200,0.3207382248507606,0.19961634,0.0010329679,0.32209277153015137,0.20182654,0.0005915101,elu,64,1200,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
400,0.0001814815746102896,0.008515033,0.7289545,0.00018674890452530235,0.008788856,0.71158665,elu,128,400,mean_squared_error,Adam
1200,0.19478577772776287,0.4389741,0.0003557138,0.1952374279499054,0.4395731,0.00048712594,relu,64,1200,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
800,0.0033921687536079574,0.003390548,0.93964213,0.0032281773164868355,0.003226557,0.9452331,elu,128,800,mean_absolute_error,Nadam
400,0.003302602937307071,0.0033009797,0.94148666,0.003228131216019392,0.0032264867,0.94554627,elu,128,400,mean_absolute_error,RMSProp
400,0.00015141053493910778,0.007800631,0.7472319,0.00015406515740323812,0.008003695,0.73848295,elu,64,400,mean_squared_error,Adam
400,0.00019873978238104395,0.008897256,0.7083857,0.0002058633981505409,0.009216818,0.693737,elu,128,400,mean_squared_error,Nadam
400,0.0002489831974445325,0.009971826,0.6628639,0.00026081252144649625,0.01037746,0.63723034,relu,128,400,mean_squared_error,Nadam
